,Age,Price
0,2,200
1,1,100
2,2,200
3,2,200
4,1,100
5,2,200
6,3,300
7,2,200
8,2,200
9,3,300
10,2,200
11,2,200
12,2,200
13,2,200
14,2,200
15,2,200
16,1,100
17,2,200
18,1,100
19,2,200
20,2,200
21,2,200
22,2,200
23,2,200
24,2,200
25,2,200
26,2,200
27,2,200
28,2,200
29,2,200
30,2,200
31,2,200
32,3,300
33,3,300
34,2,200
35,2,200
36,2,200
37,2,200
38,2,200
39,2,200
40,2,200
41,2,200
42,1,100
43,1,100
44,1,100
45,1,100
46,2,200
47,1,100
48,1,100
49,2,200
50,2,200
51,1,100
52,2,200
53,2,200
54,1,100
55,2,200
56,2,200
57,2,200
58,1,100
59,1,100
60,1,100
61,2,200
62,2,200
63,1,100
64,2,200
65,2,200
66,2,200
67,2,200
68,2,200
69,1,100
70,2,200
71,2,200
72,3,300
73,2,200
74,2,200
75,2,200
76,2,200
77,2,200
78,2,200
79,2,200
80,2,200
81,2,200
82,2,200
83,3,300
84,2,200
85,2,200
86,2,200
87,2,200
88,2,200
89,2,200
90,2,200
91,2,200
92,2,200
93,2,200
94,2,200
95,2,200
96,2,200
97,2,200
98,1,100
99,2,200
100,1,100
101,2,200
102,2,200
103,2,200
104,2,200
105,2,200
106,2,200
107,2,200
108,2,200
109,2,200
110,2,200
111,2,200
112,2,200
113,2,200
114,2,200
115,2,200
116,2,200
117,2,200
118,2,200
119,2,200
120,2,200
121,1,100
122,2,200
123,1,100
124,1,100
125,1,100
126,1,100
127,2,200
128,3,300
129,3,300
130,2,200
131,2,200
132,1,100
133,1,100
134,1,100
135,2,200
136,1,100
137,2,200
138,2,200
139,2,200
140,2,200
141,2,200
142,2,200
143,2,200
144,2,200
145,2,200
146,2,200
147,2,200
148,1,100
149,1,100
150,2,200
151,2,200
152,2,200
153,2,200
154,2,200
155,2,200
156,2,200
157,2,200
158,2,200
159,2,200
160,2,200
161,2,200
162,2,200
163,3,300
164,2,200
165,2,200
166,3,300
167,3,300
168,2,200
169,2,200
170,2,200
171,1,100
172,2,200
173,2,200
174,1,100
175,1,100
176,1,100
177,2,200
178,1,100
179,2,200
180,2,200
181,3,300
182,2,200
183,2,200
184,2,200
185,2,200
186,2,200
187,2,200
188,2,200
189,2,200
190,2,200
191,2,200
192,2,200
193,2,200
194,2,200
195,2,200
196,2,200
197,2,200
198,2,200
199,2,200
200,2,200
201,2,200
202,2,200
203,2,200
204,2,200
205,2,200
206,2,200
207,2,200
208,2,200
209,1,100
210,2,200
211,1,100
212,2,200
213,2,200
214,2,200
215,2,200
216,2,200
217,1,100
218,2,200
219,2,200
220,2,200
221,2,200
222,2,200
223,2,200
224,2,200
225,2,200
226,1,100
227,1,100
228,2,200
229,2,200
230,2,200
231,2,200
232,3,300
233,1,100
234,2,200
235,2,200
236,1,100
237,1,100
238,1,100
239,1,100
240,2,200
241,1,100
242,1,100
243,2,200
244,2,200
245,2,200
246,2,200
247,2,200
248,1,100
249,1,100
250,1,100
251,2,200
252,2,200
253,2,200
254,2,200
255,2,200
256,3,300
257,2,200
258,2,200
259,2,200
260,2,200
261,2,200
262,2,200
263,1,100
264,1,100
265,2,200
266,2,200
267,2,200
268,2,200
269,2,200
270,3,300
271,2,200
272,2,200
273,2,200
274,2,200
275,3,300
276,2,200
277,3,300
278,3,300
279,2,200
280,2,200
281,1,100
282,2,200
283,2,200
284,2,200
285,2,200
286,2,200
287,2,200
288,2,200
289,2,200
290,2,200
291,2,200
292,2,200
293,3,300
294,3,300
295,1,100
296,1,100
297,1,100
298,2,200
299,2,200
300,2,200
301,2,200
302,2,200
303,1,100
304,2,200
305,1,100
306,1,100
307,2,200
308,2,200
309,2,200
310,3,300
311,2,200
312,3,300
313,3,300
314,3,300
315,2,200
316,2,200
317,2,200
318,3,300
